"district_key","NAME_1","indicator","year","percent"
"kasungu","Kasungu","ANC 4+",2015,53.7236820165423
"kasungu","Kasungu","Postnatal Care",2015,99.7940590772367
"kasungu","Kasungu","Coverage Index",2015,68.6283691622305
"kasungu","Kasungu","Skilled Birth Attendance",2024,33.5085031099831
"kasungu","Kasungu","ANC 4+",2024,60.3791239374753
"kasungu","Kasungu","Postnatal Care",2024,99.5267649030639
"kasungu","Kasungu","Coverage Index",2024,64.4714639835074
"likoma","Likoma","Skilled Birth Attendance",2015,42.8339088402062
"likoma","Likoma","ANC 4+",2015,67.5668643410636
"likoma","Likoma","Postnatal Care",2015,99.7579706668303
"likoma","Likoma","Coverage Index",2015,70.0529146160334
"likoma","Likoma","Skilled Birth Attendance",2024,26.1815290711117
"likoma","Likoma","ANC 4+",2024,68.5575060355843
"likoma","Likoma","Postnatal Care",2024,100
"likoma","Likoma","Coverage Index",2024,64.913011702232
"lilongwe","Lilongwe","Skilled Birth Attendance",2015,46.9558297402268
"lilongwe","Lilongwe","ANC 4+",2015,50.3257790706316
"lilongwe","Lilongwe","Postnatal Care",2015,99.7646226325547
"lilongwe","Lilongwe","Coverage Index",2015,65.6820771478044
"lilongwe","Lilongwe","Skilled Birth Attendance",2024,30.3621520617629
"lilongwe","Lilongwe","ANC 4+",2024,55.0998141882965
"lilongwe","Lilongwe","Postnatal Care",2024,100
"lilongwe","Lilongwe","Coverage Index",2024,61.8206554166865
"machinga","Machinga","Skilled Birth Attendance",2015,63.1781387169424
"machinga","Machinga","ANC 4+",2015,50.3710180869825
"machinga","Machinga","Postnatal Care",2015,99.569672042471
"machinga","Machinga","Coverage Index",2015,71.0396096154653
"machinga","Machinga","Skilled Birth Attendance",2024,40.9205628676408
"machinga","Machinga","ANC 4+",2024,65.3771287088374
"machinga","Machinga","Postnatal Care",2024,99.7469764571891
"machinga","Machinga","Coverage Index",2024,68.6815560112224
"mangochi","Mangochi","Skilled Birth Attendance",2015,53.2915351934108
"mangochi","Mangochi","ANC 4+",2015,46.0349149744768
"mangochi","Mangochi","Postnatal Care",2015,99.0619483737838
"mangochi","Mangochi","Coverage Index",2015,66.1294661805571
"mangochi","Mangochi","Skilled Birth Attendance",2024,41.7870945932564
"mangochi","Mangochi","ANC 4+",2024,68.6809633258189
"mangochi","Mangochi","Postnatal Care",2024,100
"mangochi","Mangochi","Coverage Index",2024,70.1560193063584
"mchinji","Mchinji","Skilled Birth Attendance",2015,57.9492204817507
"mchinji","Mchinji","ANC 4+",2015,51.5028320938251
"mchinji","Mchinji","Postnatal Care",2015,99.5510099940644
"mchinji","Mchinji","Coverage Index",2015,69.6676875232134
"mchinji","Mchinji","Skilled Birth Attendance",2024,29.1379249054658
"mchinji","Mchinji","ANC 4+",2024,66.1441851894223
"mchinji","Mchinji","Postnatal Care",2024,100
"mchinji","Mchinji","Coverage Index",2024,65.094036698296
"mulanje","Mulanje","Skilled Birth Attendance",2015,49.2496118615862
"mulanje","Mulanje","ANC 4+",2015,45.4960536250413
"mulanje","Mulanje","Postnatal Care",2015,99.1801215978917
"mulanje","Mulanje","Coverage Index",2015,64.6419290281731
"mulanje","Mulanje","Skilled Birth Attendance",2024,33.2509171828527
"mulanje","Mulanje","ANC 4+",2024,66.0142876571677
"mulanje","Mulanje","Postnatal Care",2024,98.6580246289524
"mulanje","Mulanje","Coverage Index",2024,65.974409822991
"mwanza","Mwanza","Skilled Birth Attendance",2015,53.4213617907306
"mwanza","Mwanza","ANC 4+",2015,38.2211201260869
"mwanza","Mwanza","Postnatal Care",2015,96.2961868331011
